model,rank,feature,coefficient,importance,interpretation
income_growth_prediction,9,multi_product_adoption,-0.013890972616577313,0.013890972616577313,Small product-adoption signal.
income_growth_prediction,10,platform_commission_pct,-0.013415725500957876,0.013415725500957876,Higher commission modestly reduces growth.
income_growth_prediction,11,technology_adoption_score,0.013370849036868915,0.013370849036868915,Technology score has small positive relationship.
income_growth_prediction,12,digital_tool_usage,-0.011213383739852478,0.011213383739852478,Small and counterintuitive after composite controls.
embedded_finance_adoption,1,kyc_flag,0.7553642473119329,0.7553642473119329,KYC eligibility is the main adoption/assignment driver.
embedded_finance_adoption,2,city_Hyderabad,-0.13763527253130378,0.13763527253130378,City signal reflects phased rollout geography.
embedded_finance_adoption,3,multi_product_adoption,0.12736545529263843,0.12736545529263843,Product adoption predicts embedded-finance treatment but may be post-assignment leakage.
embedded_finance_adoption,4,city_Surat,0.1189111466101739,0.1189111466101739,City signal reflects rollout/geographic heterogeneity.
embedded_finance_adoption,5,city_Ahmedabad,-0.1129124581522479,0.1129124581522479,City signal reflects rollout/geographic heterogeneity.
embedded_finance_adoption,6,category_home_cleaning,0.10466841052266845,0.10466841052266845,Category signal reflects rollout/category prioritization.
embedded_finance_adoption,7,agent_usage_flag,-0.09811280711198359,0.09811280711198359,Agent usage may be contemporaneous; use pre-rollout agent readiness if forecasting adoption.
embedded_finance_adoption,8,monthly_income,-0.09365961013881163,0.09365961013881163,Baseline income contributes modestly.
embedded_finance_adoption,9,avg_ticket,-0.08722203589855622,0.08722203589855622,Ticket size contributes modestly.
embedded_finance_adoption,10,city_Kolkata,-0.08457730335115461,0.08457730335115461,City signal reflects rollout/geographic heterogeneity.
embedded_finance_adoption,11,city_Guwahati,0.0790891832526005,0.0790891832526005,City signal reflects rollout/geographic heterogeneity.
embedded_finance_adoption,12,category_appliance_repair,-0.06987893039949163,0.06987893039949163,Category signal reflects rollout/category prioritization.
