respondent_id,data_type,respondent_category,business_type_raw,business_type,city,region,experience_years,tenure_days_estimate,monthly_income_range_raw,monthly_income_midpoint,monthly_transaction_volume_raw,monthly_transaction_estimate,payment_methods_standardized,uses_upi_flag,uses_cash_flag,uses_card_flag,uses_wallet_flag,upi_usage_frequency_raw,upi_usage_frequency_score,upi_usage_frequency_scaled,needed_business_credit_binary,approx_credit_amount_raw,approx_credit_amount_numeric,credit_purpose,ai_tool_usage_binary,automation_usage,platform_used_raw,key_pain_points,survey_response_date,digital_adoption_score_likert,digital_adoption_score_scaled,cashflow_issues_likert,cashflow_issues_scaled,settlement_delay_impact_likert,settlement_delay_impact_scaled,faster_payout_impact_likert,faster_payout_impact_scaled,business_growth_after_digital_likert,business_growth_after_digital_scaled,repeat_customer_change_likert,repeat_customer_change_scaled,has_interview_quote
R0011,survey,Service Professional,Electrician,plumbing_electrical,Hyderabad,South,3,1095,"Rs 10,000-Rs 15,000",12500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 12,000",12000.0,tool upgrades,1.0,ai scheduling,"Urban Company, Google Pay",delayed payouts,2026-05-14,3.0,0.5,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,3.0,0.5,1
R0012,survey,Service Professional,Electrician,plumbing_electrical,Bangalore,South,4,1460,"Rs 10,000-Rs 15,000",12500.0,120 & Above bookings/month,135.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 18,000",18000.0,tool upgrades,1.0,ai reminders,"Urban Company, Paytm",tool financing,2026-05-14,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
R0013,survey,Service Professional,Plumber,plumbing_electrical,Bangalore,South,5,1825,"Rs 10,000-Rs 15,000",12500.0,30-90 bookings/month,60.0,upi;cash,1,1,0,0,Daily,5.0,1.0,0.0,,,,0.0,reminders only,"Urban Company, Google Pay",high cancellations,2026-05-14,3.0,0.5,3.0,0.5,4.0,0.75,4.0,0.75,3.0,0.5,3.0,0.5,1
R0014,survey,Service Professional,Plumber,plumbing_electrical,Bangalore,South,6,2190,"Rs 10,000-Rs 15,000",12500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 8,000",8000.0,equipment upgrade,0.0,reminders only,"Urban Company, PhonePe",payment delays,2026-05-15,3.0,0.5,4.0,0.75,4.0,0.75,4.0,0.75,3.0,0.5,3.0,0.5,1
R0015,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Mumbai,West,7,2555,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 40,000",40000.0,equipment upgrade,1.0,ai loyalty,"Urban Company, Google Pay","high rent, payout delays",2026-05-15,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,1
R0016,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Mumbai,West,3,1095,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 20,000",20000.0,equipment upgrade,1.0,ai appointment scheduling,"Urban Company, Paytm",delayed settlements,2026-05-16,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
R0017,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Mumbai,West,4,1460,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 22,000",22000.0,salon supplies,0.0,reminders only,"Urban Company, Google Pay",stock shortages,2026-05-16,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
R0018,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Mumbai,West,5,1825,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 28,000",28000.0,equipment upgrade,1.0,ai loyalty,"Urban Company, Google Pay","high rent, payout delays",2026-05-16,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,1
R0019,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Thane,West,6,2190,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 18,000",18000.0,salon supplies,1.0,ai appointment scheduling,"Urban Company, Paytm",delayed settlements,2026-05-16,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
R0020,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Thane,West,7,2555,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 25,000",25000.0,equipment upgrade,1.0,ai loyalty,"Urban Company, Google Pay",high cancellations,2026-05-16,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,1
R0021,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Thane,West,3,1095,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 12,000",12000.0,supplies purchase,0.0,reminders only,"Urban Company, Paytm",stock shortages,2026-05-16,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
R0022,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Thane,West,4,1460,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 20,000",20000.0,equipment upgrade,1.0,ai appointment scheduling,"Urban Company, Google Pay",delayed settlements,2026-05-16,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
R0023,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Thane,West,5,1825,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 22,000",22000.0,salon supplies,1.0,ai loyalty,"Urban Company, PhonePe",high cancellations,2026-05-16,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
R0024,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Thane,West,6,2190,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 28,000",28000.0,tool upgrades,1.0,ai reminders,"Urban Company, Google Pay",payout delays,2026-05-16,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,1
R0025,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Thane,West,7,2555,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 30,000",30000.0,expansion & supplies,1.0,ai appointment optimization,"Urban Company, Paytm",short-term credit gaps,2026-05-16,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,5.0,1.0,4.0,0.75,1
R0026,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Thane,West,3,1095,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 18,000",18000.0,salon supplies,0.0,reminders only,"Urban Company, Google Pay",stock shortages,2026-05-16,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
R0027,interview,Service Professional,Beauty & Salon Services,beauty_wellness,Bangalore,South,4,1460,"Rs 25,000-Rs 40,000",32500.0,90-120 bookings/month,105.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 20,000",20000.0,salon supplies,1.0,ai appointment scheduling,"Urban Company, PhonePe",delayed settlements,2026-05-16,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
R0028,interview,Service Professional,Painter,home_services_other,Pune,West,5,1825,"Rs 25,000-Rs 40,000",32500.0,30-90 bookings/month,60.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 10,000",10000.0,paint stock,0.0,reminders only,"Urban Company, Google Pay",payment delays,2026-05-17,3.0,0.5,3.0,0.5,4.0,0.75,4.0,0.75,3.0,0.5,3.0,0.5,1
R0029,interview,Service Professional,Technician,appliance_repair,Navi Mumbai,West,6,2190,"Rs 10,000-Rs 15,000",12500.0,30-90 bookings/month,60.0,upi;cash,1,1,0,0,Daily,5.0,1.0,1.0,"Rs 12,000",12000.0,tool upgrades,1.0,ai scheduling,"Urban Company, Paytm",tool financing,2026-05-17,3.0,0.5,3.0,0.5,4.0,0.75,4.0,0.75,3.0,0.5,3.0,0.5,1
R0030,interview,Service Professional,Masseuse,beauty_wellness,Navi Mumbai,West,7,2555,"Rs 25,000-Rs 40,000",32500.0,120 & Above bookings/month,135.0,upi;cash,1,1,0,0,Daily,5.0,1.0,0.0,,,,1.0,ai customer management,"Urban Company, Google Pay",high cancellations,2026-05-17,4.0,0.75,4.0,0.75,5.0,1.0,5.0,1.0,4.0,0.75,4.0,0.75,1
